record hmy,amendment hmy,tenant hmy,tenant code,property hmy,property code,unit hmy,unit name,dtleasefrom,dtleaseto,hoption,hproposal,binactive,dtinactive,hamendmentinactive,dtmovein,dtmoveout,snotes,dsqft,hmasterunit,bactive,hcondocontract,ipersontype,hcommmoveoutreason,hforeigndb,sextreference,hcopyfrom,ispastprimaryowner,hcommmlaoverride,trowversion,dtclose,dtaxestimate
11509,11106,10359,t0000777,1874,xil700h,8249,700,44697,45792,,,,,116829,44692,45792,,43519,0,0,,,,,,,,0,AAAAAAHonKY=,,
12239,11856,11002,t0000778,1681,xga4225,3165,101,44713,46630,,,,,,44713,,,7259,0,0,,,,,,,,0,AAAAAAB3HlE=,,
12240,11856,11002,t0000778,1681,xga4225,3014,104,44713,46630,,,,,,44713,,,8218,0,0,,,,,,,,0,AAAAAAB3HlI=,,
12249,11857,11005,t0000779,3388,xnj2050h,9133,2050,44671,46507,,,,,,44671,,,24000,0,0,,,,,,,,0,AAAAAABt4g0=,,
12247,11866,11013,t0000780,3202,xtx467wa,5746,4679,42736,44561,,,,,,42736,,,42006,0,0,,,,,,,,0,AAAAAABYrxw=,,
12248,11867,11013,t0000780,3202,xtx467wa,5746,4679,44562,44926,,,,,23838,44562,44926,,42006,0,0,,,,,,,,0,AAAAAAB9e5Y=,,
23968,23838,11013,t0000780,3202,xtx467wa,5746,4679,44927,46387,,,,,,44927,,,40394,0,0,,,,,,,,0,AAAAAAB9e7k=,,
12251,11870,11016,t0000781,3569,3nj00001,9135,1000,44562,46387,,,,,,44562,,,30812,0,0,,,,,,,,0,AAAAAAB5opc=,,
12254,11875,11023,t0000782,3572,3fl00001,9141,14735,44687,44871,,,,,22577,44718,44871,,25327,0,0,,,,,,,,0,AAAAAAD0n28=,,
22717,22577,11023,t0000782,3572,3fl00001,9141,14735,44872,45961,,,,,,44872,,,25327,0,0,,,,,,,,0,AAAAAAD0n6A=,,
